uuid,title,matches,uri,version,ident_hash,type,book_title,archive_host,archive_html_url,total_matches,match_counts,match_tags,match_top_three,staging_webview_url,prod_webview_url
829e47cf-dbf7-4dfb-b3da-a3beb62f99ab,Measures of the Spread of the Data,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/829e47cf-dbf7-4dfb-b3da-a3beb62f99ab@17,17,829e47cf-dbf7-4dfb-b3da-a3beb62f99ab@17,Module,Introductory Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/829e47cf-dbf7-4dfb-b3da-a3beb62f99ab@17,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:829e47cf-dbf7-4dfb-b3da-a3beb62f99ab,https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:829e47cf-dbf7-4dfb-b3da-a3beb62f99ab
28539d2b-16e2-4356-9ba8-9fcceaa27765,"Stem-and-Leaf Graphs (Stemplots), Line Graphs, and Bar Graphs","['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/28539d2b-16e2-4356-9ba8-9fcceaa27765@10,10,28539d2b-16e2-4356-9ba8-9fcceaa27765@10,Module,Introductory Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/28539d2b-16e2-4356-9ba8-9fcceaa27765@10,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:28539d2b-16e2-4356-9ba8-9fcceaa27765,https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:28539d2b-16e2-4356-9ba8-9fcceaa27765
3428f908-8445-4b02-8b19-9806ddd8965e,Contingency Tables,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/3428f908-8445-4b02-8b19-9806ddd8965e@16,16,3428f908-8445-4b02-8b19-9806ddd8965e@16,Module,Introductory Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/3428f908-8445-4b02-8b19-9806ddd8965e@16,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:3428f908-8445-4b02-8b19-9806ddd8965e,https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:3428f908-8445-4b02-8b19-9806ddd8965e
af1b1264-e36c-4516-bbfa-d87c3aa59987,Tree and Venn Diagrams,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/af1b1264-e36c-4516-bbfa-d87c3aa59987@12,12,af1b1264-e36c-4516-bbfa-d87c3aa59987@12,Module,Introductory Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/af1b1264-e36c-4516-bbfa-d87c3aa59987@12,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:af1b1264-e36c-4516-bbfa-d87c3aa59987,https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:af1b1264-e36c-4516-bbfa-d87c3aa59987
5fc88cd3-b01f-4b10-b20e-72faabd269bf,Probability Distribution Function (PDF) for a Discrete Random Variable,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/5fc88cd3-b01f-4b10-b20e-72faabd269bf@8,8,5fc88cd3-b01f-4b10-b20e-72faabd269bf@8,Module,Introductory Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/5fc88cd3-b01f-4b10-b20e-72faabd269bf@8,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:5fc88cd3-b01f-4b10-b20e-72faabd269bf,https://cnx.org/contents/30189442-6998-4686-ac05-ed152b91b9de:5fc88cd3-b01f-4b10-b20e-72faabd269bf
50c33b77-e1f2-4427-965c-fe8abbb260a4,Display Data,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/50c33b77-e1f2-4427-965c-fe8abbb260a4@19,19,50c33b77-e1f2-4427-965c-fe8abbb260a4@19,Module,Introductory Business Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/50c33b77-e1f2-4427-965c-fe8abbb260a4@19,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:50c33b77-e1f2-4427-965c-fe8abbb260a4,https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:50c33b77-e1f2-4427-965c-fe8abbb260a4
29fde838-4922-484c-8a85-028848f33fea,Geometric Mean,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/29fde838-4922-484c-8a85-028848f33fea@12,12,29fde838-4922-484c-8a85-028848f33fea@12,Module,Introductory Business Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/29fde838-4922-484c-8a85-028848f33fea@12,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:29fde838-4922-484c-8a85-028848f33fea,https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:29fde838-4922-484c-8a85-028848f33fea
dfd35c2f-3dc9-4d5b-8edd-dbd014444db9,Measures of the Center of the Data,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/dfd35c2f-3dc9-4d5b-8edd-dbd014444db9@23,23,dfd35c2f-3dc9-4d5b-8edd-dbd014444db9@23,Module,Introductory Business Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/dfd35c2f-3dc9-4d5b-8edd-dbd014444db9@23,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:dfd35c2f-3dc9-4d5b-8edd-dbd014444db9,https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:dfd35c2f-3dc9-4d5b-8edd-dbd014444db9
20bb2f0d-30dd-4d66-9948-6c3cb27e8870,Measures of the Spread of the Data,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>', '<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/20bb2f0d-30dd-4d66-9948-6c3cb27e8870@24,24,20bb2f0d-30dd-4d66-9948-6c3cb27e8870@24,Module,Introductory Business Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/20bb2f0d-30dd-4d66-9948-6c3cb27e8870@24,2,['h3: 2'],['h3'],['h3: 2'],https://staging.cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:20bb2f0d-30dd-4d66-9948-6c3cb27e8870,https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:20bb2f0d-30dd-4d66-9948-6c3cb27e8870
524c11f5-250b-4861-8fbe-121c5f67c9f4,Introduction,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/524c11f5-250b-4861-8fbe-121c5f67c9f4@17,17,524c11f5-250b-4861-8fbe-121c5f67c9f4@17,Module,Introductory Business Statistics,https://archive.cnx.org,https://archive.cnx.org/contents/524c11f5-250b-4861-8fbe-121c5f67c9f4@17,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:524c11f5-250b-4861-8fbe-121c5f67c9f4,https://cnx.org/contents/b56bb9e9-5eb8-48ef-9939-88b1b12ce22f:524c11f5-250b-4861-8fbe-121c5f67c9f4
1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89,Connection for APÂ® Courses,"['<h3 xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89@11,11,1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89@11,Module,The AP Physics Collection,https://archive.cnx.org,https://archive.cnx.org/contents/1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89@11,1,['h3: 1'],['h3'],['h3: 1'],https://staging.cnx.org/contents/8d04a686-d5e8-4798-a27d-c608e4d0e187:1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89,https://cnx.org/contents/8d04a686-d5e8-4798-a27d-c608e4d0e187:1ccdd2db-7f73-4ba2-8b8e-dc40dbc39d89
dc34f45c-17ca-4e69-a106-b6338a5ede3b,Introduction,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/dc34f45c-17ca-4e69-a106-b6338a5ede3b@9,9,dc34f45c-17ca-4e69-a106-b6338a5ede3b@9,Module,Psychology,https://archive.cnx.org,https://archive.cnx.org/contents/dc34f45c-17ca-4e69-a106-b6338a5ede3b@9,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc:dc34f45c-17ca-4e69-a106-b6338a5ede3b,https://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc:dc34f45c-17ca-4e69-a106-b6338a5ede3b
a0461bab-6b94-48b8-8b77-d4f71d2b7db5,Introduction,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>', '<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/a0461bab-6b94-48b8-8b77-d4f71d2b7db5@9,9,a0461bab-6b94-48b8-8b77-d4f71d2b7db5@9,Module,Psychology,https://archive.cnx.org,https://archive.cnx.org/contents/a0461bab-6b94-48b8-8b77-d4f71d2b7db5@9,2,['em: 2'],['em'],['em: 2'],https://staging.cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc:a0461bab-6b94-48b8-8b77-d4f71d2b7db5,https://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc:a0461bab-6b94-48b8-8b77-d4f71d2b7db5
